timestamp,user,source_ip,destination_host,action,status
2026-09-01 08:12:33,john,192.168.1.10,workstation-john,LOGIN,SUCCESS
2026-09-01 08:15:07,sarah,192.168.1.20,workstation-sarah,LOGIN,SUCCESS
2026-09-01 09:00:12,john,192.168.1.10,mail-server,LOGIN,SUCCESS
2026-09-01 09:30:45,sarah,192.168.1.20,workstation-sarah,LOGOUT,SUCCESS
2026-09-01 10:15:22,john,192.168.1.10,workstation-john,LOGOUT,SUCCESS
2026-09-01 14:22:18,sarah,192.168.1.20,mail-server,LOGIN,SUCCESS
2026-09-01 14:45:33,john,192.168.1.10,report-server,LOGIN,SUCCESS
2026-09-01 15:30:11,sarah,192.168.1.20,mail-server,LOGOUT,SUCCESS
2026-09-01 16:05:44,john,192.168.1.10,report-server,LOGOUT,SUCCESS
2026-09-01 17:00:00,sarah,192.168.1.20,workstation-sarah,LOGOUT,SUCCESS
2026-09-01 21:55:01,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:55:47,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:56:22,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:56:58,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:57:31,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:57:55,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:58:19,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:58:44,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:59:03,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:59:28,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 21:59:51,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 22:00:14,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 22:00:33,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 22:00:55,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 22:01:17,admin,192.168.1.50,server01,LOGIN,FAILED
2026-09-01 22:01:42,admin,192.168.1.50,server01,LOGIN,SUCCESS
2026-09-01 22:02:05,admin,192.168.1.50,server01,LOGIN,SUCCESS
2026-09-01 22:10:00,john,192.168.1.10,workstation-john,LOGIN,SUCCESS
2026-09-01 22:45:11,sarah,192.168.1.20,workstation-sarah,LOGIN,SUCCESS
