timestamp,user,source_host,file,action,status
2026-09-01 08:14:55,john,workstation-john,report.pdf,READ,SUCCESS
2026-09-01 08:16:02,john,workstation-john,meeting_notes.docx,READ,SUCCESS
2026-09-01 09:32:18,sarah,workstation-sarah,project_plan.xlsx,READ,SUCCESS
2026-09-01 10:14:01,john,workstation-john,quarterly_report.pdf,READ,SUCCESS
2026-09-01 14:23:44,sarah,workstation-sarah,budget_2026.xlsx,READ,SUCCESS
2026-09-01 15:31:09,sarah,workstation-sarah,team_roster.docx,READ,SUCCESS
2026-09-01 16:06:30,john,workstation-john,project_plan.xlsx,READ,SUCCESS
2026-09-01 17:15:22,sarah,workstation-sarah,meeting_notes.docx,READ,SUCCESS
2026-09-01 22:03:15,admin,192.168.1.50,students.xlsx,READ,SUCCESS
2026-09-01 22:03:44,admin,192.168.1.50,students.xlsx,READ,SUCCESS
2026-09-01 22:04:08,admin,192.168.1.50,financial_data.csv,READ,SUCCESS
2026-09-01 22:04:35,admin,192.168.1.50,financial_data.csv,READ,SUCCESS
2026-09-01 22:05:02,admin,192.168.1.50,employee_records.db,READ,SUCCESS
2026-09-01 22:05:31,admin,192.168.1.50,employee_records.db,READ,SUCCESS
2026-09-01 22:06:14,admin,192.168.1.50,salary_data.csv,READ,SUCCESS
2026-09-01 22:06:48,admin,192.168.1.50,students.xlsx,READ,SUCCESS
2026-09-01 22:07:22,admin,192.168.1.50,financial_data.csv,READ,SUCCESS
2026-09-01 22:08:01,admin,192.168.1.50,employee_records.db,READ,SUCCESS
2026-09-01 22:10:30,john,workstation-john,report.pdf,READ,SUCCESS
2026-09-01 22:45:55,sarah,workstation-sarah,meeting_notes.docx,READ,SUCCESS
