timestamp,user,source_host,file,action,status
2026-09-03 08:07:40,alice,workstation-alice,team_notes.docx,READ,SUCCESS
2026-09-03 09:02:02,alice,workstation-alice,project_schedule.xlsx,READ,SUCCESS
2026-09-03 09:47:10,bob,workstation-bob,meeting_minutes.docx,READ,SUCCESS
2026-09-03 14:12:33,alice,workstation-alice,internal_wiki_export.pdf,READ,SUCCESS
2026-09-03 15:06:44,bob,workstation-bob,operations_report.pdf,READ,SUCCESS
2026-09-03 03:43:58,svc_backup,198.51.100.23,payroll_2026.xlsx,READ,SUCCESS
2026-09-03 03:44:31,svc_backup,198.51.100.23,payroll_2026.xlsx,READ,SUCCESS
2026-09-03 03:45:02,svc_backup,198.51.100.23,student_records.sql,READ,SUCCESS
2026-09-03 03:45:40,svc_backup,198.51.100.23,student_records.sql,READ,SUCCESS
2026-09-03 03:46:12,svc_backup,198.51.100.23,customer_export.db,READ,SUCCESS
2026-09-03 03:46:55,svc_backup,198.51.100.23,customer_export.db,READ,SUCCESS
2026-09-03 03:47:21,svc_backup,198.51.100.23,password_backup.db,READ,SUCCESS
2026-09-03 03:48:00,svc_backup,198.51.100.23,password_backup.db,READ,SUCCESS
